#TIME QUANTITY DELAY BEHAVIORID X Y ID
3000 3 1000 1 820 500 101
3800 4 1000 1 820 250 101
4900 5 1300 3 820 -20 101
7500 5 1300 3 820 -20 101
14000 5 1300 2 820 620 101
25000 5 1300 3 820 -20 101
25000 5 1300 2 820 620 101
35000 10 900 1 820 500 101
40000 10 900 1 820 200 101
53000 10 900 1 820 350 101
68000 10 900 1 820 350 101
80000 3 1000 1 820 500 101
90000 4 1000 1 820 250 101
105000 5 1300 3 820 -20 101
119000 5 1300 3 820 -20 101
129000 5 1300 2 820 620 101
139000 5 1300 3 820 -20 101
145000 5 1300 2 820 620 101
160000 10 900 1 820 500 101
176000 10 900 1 820 200 101
195000 10 900 1 820 150 101
210000 10 900 1 820 350 101
220000 20 790 1 820 530	101
221000 10 600 2 820 620 101
221500 10 600 3 820 -20 101
225000 10 600 2 820 620 101
225500 10 600 3 820 -20 101
230000 20 790 1 820 400	101
255500 10 600 3 820 -20 101
1000 1 1000 1 820 250 201
